model,mae,rmse,r2
linear_regression_v1,0.8583646805248643,1.0231392784751518,0.19741388569168516
random_forest_v1,0.9083703761519348,1.1081455382899146,0.058509958189790656
gradient_boosting_v1,0.9542720682293229,1.126712922579997,0.0266956212768118
