model,mae,rmse,r2
gradient_boosting_v2,0.13300512933331926,0.17337474833765054,0.21426199510695987
linear_regression_v2,0.1347512029009213,0.17640873156006806,0.18652122320452114
random_forest_v2,0.13679095554019655,0.17844971792842598,0.16758901259301906
